Day,RSI,Stochastic Oscillator,Williams,MACD,Price Rate Of Change,On Balance Volume,Close,Buy/Sell
388,6.20617077318,72.6019146764,-27.3980853236,-13.9668930526,0.00496366843556,1.05564538699e+11,102.5,Sell
391,7.16073076225,59.2516987333,-40.7483012667,-11.1630236033,-0.00239984342381,1.05499442738e+11,98.120003,Sell
394,6.87855439463,35.1403302129,-64.8596697871,-9.02279795142,-0.00575553090143,1.05315738718e+11,97.989998,Buy
397,9.52225550951,48.0381021115,-51.9618978885,-7.24974676996,0.00343104804622,1.05530007155e+11,101.660004,Sell
400,11.7388316593,57.6307172868,-42.3692827132,-5.75299781296,0.00245657097601,1.05737684818e+11,101.580002,Buy
403,13.3411947741,63.2793551944,-36.7206448056,-4.52803532114,0.00153246427578,1.0593427758e+11,101.059998,Sell
406,15.5976925664,56.6236711361,-43.3763288639,-3.54803328703,-0.000547891698364,1.05995581046e+11,97.870003,Sell
409,15.5233943236,53.9359044178,-46.0640955822,-2.82655753241,-0.000548703428274,1.05927418566e+11,100.75,Sell
412,14.6199927882,38.5120107997,-61.4879892003,-2.29472376702,-0.00287061240218,1.05742212243e+11,99.620003,Buy
415,15.1441889516,36.1761037113,-63.8238962887,-1.89533126163,-0.00165820517304,1.05684426257e+11,100.800003,Buy
418,17.5147693223,38.4802346324,-61.5197653676,-1.53462760434,0.00062012144136,1.057434306e+11,99.809998,Sell
421,13.8046587192,30.0799233189,-69.9200766811,-1.33091020289,-0.00741665320689,1.05557142575e+11,96.260002,Buy
424,22.018843993,42.2313468018,-57.7686531982,-1.18086863089,0.00148218193461,1.05626795827e+11,102.470001,Buy
427,46.4105393582,72.8312277641,-27.1687722359,-0.819107791792,0.0122643159942,1.05830420839e+11,105.220001,Buy
430,63.2535435357,84.5670087215,-15.4329912785,-0.316564841407,0.0142420191319,1.06017099784e+11,107.339996,Buy
433,74.0124331539,89.3555838075,-10.6444161925,0.232985184946,0.0148013686596,1.06191376489e+11,109.400002,Sell
436,80.0049377398,91.8284472033,-8.17155279671,0.742313411975,0.0120898673457,1.06353417228e+11,108.699997,Buy
439,83.9136459209,92.8648236102,-7.13517638979,1.13316859849,0.0100324804894,1.06498373259e+11,109.699997,Buy
442,88.5309003341,93.9797608492,-6.0202391508,1.51136614921,0.0162566203147,1.06639526382e+11,114.18,Buy
445,91.5875938384,91.1565286455,-8.84347135447,1.91656867785,0.0163753325129,1.06780076216e+11,114.669998,Buy
448,93.8606656785,92.0361381484,-7.96386185162,2.30651020114,0.0178057083202,1.06920638902e+11,118.629997,Buy
451,95.3091655919,92.1123945749,-7.88760542509,2.66120248728,0.0160663538718,1.07064603897e+11,118.93,Sell
454,95.6475052871,88.4418699155,-11.5581300845,2.77170825613,0.00413378172871,1.07215086329e+11,115.93,Sell
457,92.8119090373,82.9344023844,-17.0655976156,2.65611119973,0.000664788935553,1.0726340656e+11,112.400002,Sell
460,85.0386655961,70.0562983107,-29.9437016893,2.32928642537,-0.00340266780077,1.0721510529e+11,111.620003,Sell
463,62.5485079322,27.4901494154,-72.5098505846,1.76851829156,-0.0124470195659,1.07062266563e+11,106.75,Buy
466,59.5603449732,29.1952780258,-70.8047219742,1.22750071887,-0.00189145795572,1.07006641132e+11,111.779999,Buy
469,60.7975196928,32.0414740381,-67.9585259619,0.892201122439,0.00116545315904,1.07065468195e+11,112.010002,Buy
472,64.5912600809,40.9632327856,-59.0367672144,0.716416638998,0.00307890025092,1.07202354784e+11,112.519997,Sell
475,46.81849421,24.8284348852,-75.1715651148,0.462767833411,-0.00905050810877,1.07067403277e+11,106.25,Buy
478,39.5304780113,30.0066748191,-69.9933251809,0.1037151059,-0.00604814357101,1.07020161147e+11,111.889999,Sell
481,39.1464770799,29.1396361551,-70.8603638449,-0.0817792363621,-0.000727976877843,1.06969192235e+11,110.220001,Sell
484,29.803155351,22.3037307483,-77.6962692517,-0.275432662543,-0.0076288126834,1.06812815281e+11,105.989998,Buy
487,34.6586601103,29.9806636381,-70.0193363619,-0.409872592582,0.00124052973134,1.06759138565e+11,112.400002,Sell
490,43.7719409792,50.5050541631,-49.4949458369,-0.331457408075,0.00389636038478,1.06807719093e+11,109.139999,Buy
493,66.2125455383,69.1440387897,-30.8559612103,-0.0294879075485,0.0159670612101,1.07009417073e+11,117.160004,Buy
496,77.465566633,79.7398459078,-20.2601540922,0.456685889652,0.015793817443,1.07211500262e+11,119.559998,Buy
499,83.178992982,85.4765095608,-14.5234904392,0.950586534913,0.0127575969856,1.07399320426e+11,119.720001,Sell
502,88.9988549591,89.7245319661,-10.2754680339,1.49369432318,0.0207426981184,1.07584736895e+11,126.459999,Buy
505,92.5253969109,92.3201024974,-7.67989750263,2.13636738406,0.0223863776826,1.07769828867e+11,128.720001,Buy
508,94.660494428,94.2904811585,-5.70951884145,2.75167487627,0.0216847235596,1.07944535076e+11,133.0,Sell
511,95.7519088423,92.6297061917,-7.37029380834,3.25529913149,0.0155823393366,1.08129595911e+11,130.419998,Sell
514,96.2811760702,91.7623882035,-8.23761179651,3.46281320107,0.00844740577059,1.08315876777e+11,129.360001,Sell
517,96.4278202014,86.6010210072,-13.3989789928,3.38920664556,0.00233414460407,1.08489202008e+11,126.599998,Sell
520,87.6156791429,72.5329121244,-27.4670878756,3.04343043533,-0.00372429176656,1.08425604019e+11,122.239998,Buy
523,81.5946440909,50.8495199994,-49.1504800006,2.52302168083,-0.0030142198075,1.08245245714e+11,124.949997,Sell
526,83.7754933283,52.2965355179,-47.7034644821,2.13249159553,0.0046592636809,1.08418190584e+11,127.5,Sell
529,84.2489530962,56.7334350878,-43.2665649122,1.82065610117,0.00125577536729,1.08470262184e+11,126.690002,Sell
532,70.221899,38.6626535082,-61.3373464918,1.4429274636,-0.00525307118089,1.08311354807e+11,123.25,Buy
535,66.1090632188,36.4305023365,-63.5694976635,1.10025597199,-0.00116464117913,1.08262636346e+11,124.25,Buy
538,68.6620860333,39.8648492662,-60.1351507338,0.857119706702,0.0018275319441,1.08307405429e+11,126.010002,Buy
541,71.4483108412,47.0949605691,-52.9050394309,0.708529416248,0.00180940929981,1.08439642995e+11,127.099998,Sell
544,74.0217137874,59.6601400528,-40.3398599472,0.628733729684,0.00169194030199,1.085635323e+11,126.779999,Buy
547,72.0308688744,64.406685142,-35.593314858,0.547464876706,0.000390276102388,1.08603063873e+11,127.599998,Buy
550,79.5359966104,72.3046427557,-27.6953572443,0.548313081848,0.00495494642153,1.08723142566e+11,129.669998,Buy
553,87.2252032478,74.7427925856,-25.2572074144,0.712179892217,0.00913477736895,1.08862987433e+11,130.559998,Sell
556,80.1787141288,66.1779887616,-33.8220112384,0.776684742899,-0.00054906007023,1.08917162566e+11,128.949997,Sell
